k1;k2;k3;k4;;
1,9091168;1,986075054;1,786517222;1,756873986;;
1,928378991;1,848340588;1,805194587;1,911815752;;
1,990751103;2,10914229;1,927934514;1,84960167;;
1,922877384;1,885719582;1,656664455;1,798998813;;
2,034226879;1,786257527;1,850764267;1,908432376;;
1,951615414;1,815664358;1,949073092;1,668000705;;
1,826569043;1,845810694;1,792006498;1,755808026;;
1,982992458;1,873336613;1,66234785;1,805384934;;
1,886594081;2,030884587;1,678627726;1,824149913;;
1,940067524;1,885088688;1,841406524;1,734969829;;
1,918739722;1,82706254;1,7444304;1,851078366;;
1,870254856;2,053930559;1,740821529;1,819817564;;
1,755889216;1,800415987;1,673525358;1,952770099;;
1,991131151;1,927766137;1,859844723;1,609227394;;
1,924094793;1,947103437;1,824044667;2,019861521;;
1,844939293;1,856638306;1,761540252;1,931317941;;
1,830154595;1,807725143;1,814730998;1,670182659;;
1,957152944;1,837460062;1,861350461;2,009122084;;
1,997970049;1,95871603;1,898344283;1,80729207;;
1,915218113;1,820135702;1,921611332;1,882396607;;
2,000806473;1,916810511;1,818623786;1,900051042;;
1,825345043;2,004642609;1,868076835;1,914818138;;
1,874011911;1,851415808;1,765060791;1,843737188;;
1,96265695;1,875841427;1,89320488;1,9165338;;
2,082951774;1,932284648;1,851499638;1,813435435;;
1,868435463;1,860047086;2,012303352;1,821711733;;
1,789762033;1,762312204;1,924452396;1,814680225;;
2,141895592;1,85739555;1,857948025;1,846170899;;
1,858345695;1,759285454;1,764186852;1,916985926;;
1,868878601;1,884835641;1,5919791;1,829293366;;
1,962300859;1,921902185;1,783812996;1,692147579;;
1,940018215;1,953751742;1,982934152;1,766637003;;
1,76646807;1,893228665;1,721836553;1,717836768;;
1,813753095;1,835646416;1,767940758;1,90615812;;
1,858925156;1,90132452;1,889313457;1,901465666;;
1,957934836;1,967469917;1,797143041;1,920325494;;
